split,train_frac,n_train_rows,objective,n_products,mean_regret,median_regret,std_regret,mean_relative_performance,price_match_rate,mean_candidate_prices,selected_exposure_n
2,0.025,78,expected_revenue,15,1.2693507112030908,0.0,1.6529243243992882,0.9699659006607856,0.6,9.666666666666666,100
2,0.05,156,cvar_0.25,15,0.2365935723854367,0.1283843250705025,0.3081479059960973,0.9692700532367644,0.4,9.666666666666666,250
2,0.05,156,expected_revenue,15,0.4312318178386301,0.0,1.1746153143693052,0.9923966388696964,0.8666666666666667,9.666666666666666,250
2,0.1,312,cvar_0.25,15,0.1706380439231924,0.0,0.2588439886555425,0.9761076646874524,0.5333333333333333,9.666666666666666,250
2,0.1,312,expected_revenue,15,0.2883934626893714,0.0,0.769556872859011,0.9947866847819348,0.8666666666666667,9.666666666666666,250
2,0.2,624,cvar_0.25,15,0.0163025176002507,0.0,0.0377053102814977,0.9978945294100032,0.8,9.666666666666666,100
2,0.2,624,expected_revenue,15,0.1240916203852037,0.0,0.4806047791557871,0.9979236342386136,0.9333333333333332,9.666666666666666,100
2,0.3,935,cvar_0.25,15,0.1003988579919912,0.0,0.2094237341557632,0.984202490664761,0.6,9.666666666666666,100
2,0.3,935,expected_revenue,15,0.2130990246107941,0.0,0.571093433901121,0.9962242514172758,0.8666666666666667,9.666666666666666,100
2,0.4,1247,cvar_0.25,15,0.1580444928549061,0.0,0.2832348336064779,0.9789853733722051,0.5333333333333333,9.666666666666666,250
2,0.4,1247,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,250
2,0.5,1558,cvar_0.25,15,0.0408369429448606,0.0,0.1278410100006815,0.9952596799046348,0.8,9.666666666666666,250
2,0.5,1558,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,250
2,0.6,1870,cvar_0.25,15,0.077184345691466,0.0,0.1533271612823885,0.9898681616659636,0.6666666666666666,9.666666666666666,250
2,0.6,1870,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,250
2,0.7,2182,cvar_0.25,15,0.1494188830768684,0.0398846673873016,0.2419403882309071,0.9784515181628602,0.4666666666666667,9.666666666666666,250
2,0.7,2182,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,250
2,0.8,2493,cvar_0.25,15,0.0860914163361163,0.0,0.1402825587860583,0.9883744063488548,0.6,9.666666666666666,250
2,0.8,2493,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,250
3,0.01,30,cvar_0.25,15,0.451991293746287,0.0565851652087516,0.7884997598754846,0.953560555383217,0.4,10.0,100
3,0.01,30,expected_revenue,15,1.3309663605494395,0.7207155522112849,1.538609362745769,0.9605953458787476,0.3333333333333333,10.0,100
3,0.025,73,cvar_0.25,15,0.5495494811493196,0.0509328834722788,0.9634199620573142,0.9447927307164724,0.4666666666666667,10.0,100
3,0.025,73,expected_revenue,15,0.7423864593253618,0.4126690414705152,1.0705667792369211,0.97991995795012,0.4666666666666667,10.0,100
3,0.05,146,cvar_0.25,15,0.2048844789684997,0.0509328834722788,0.2768301717153217,0.975888083867882,0.4666666666666667,10.0,100
3,0.05,146,expected_revenue,15,0.21008317331364,0.0,0.5260944199147651,0.995446125647812,0.7333333333333333,10.0,100
3,0.1,291,cvar_0.25,15,0.2544233393165495,0.0,0.4830432629499961,0.9699765007375192,0.6,10.0,100
3,0.1,291,expected_revenue,15,0.4094643614446743,0.0,0.915211826855264,0.9918891606949024,0.7333333333333333,10.0,100
3,0.2,581,cvar_0.25,15,0.0521342051396027,0.0,0.1439062321792281,0.991479972884166,0.6666666666666666,10.0,100
3,0.2,581,expected_revenue,15,0.1963597467859344,0.0,0.5935588275557613,0.9965245710794538,0.8,10.0,100
3,0.3,872,cvar_0.25,15,0.0680450875109809,0.0,0.1720303525851847,0.991231123215136,0.7333333333333333,10.0,100
3,0.3,872,expected_revenue,15,0.1523995520722953,0.0,0.5902409271454698,0.9973068314327632,0.9333333333333332,10.0,100
3,0.4,1162,cvar_0.25,15,0.1179193488311574,0.0,0.1895096334729949,0.9854368685783595,0.6,10.0,200
3,0.4,1162,expected_revenue,15,0.1866320877405239,0.0,0.5956366462305918,0.9967375202021383,0.8666666666666667,10.0,200
3,0.5,1452,cvar_0.25,15,0.0613976409977928,0.0,0.1615736405939892,0.991791081572882,0.7333333333333333,10.0,100
3,0.5,1452,expected_revenue,15,0.1523995520722953,0.0,0.5902409271454698,0.9973068314327632,0.9333333333333332,10.0,100
3,0.6,1743,cvar_0.25,15,0.0750563676613381,0.0,0.1685135865194265,0.9909801855742628,0.6666666666666666,10.0,150
3,0.6,1743,expected_revenue,15,0.0839838251016355,0.0,0.3252679559694307,0.998515857856244,0.9333333333333332,10.0,150
3,0.7,2033,cvar_0.25,15,0.0352208845141287,0.0,0.1211102179323939,0.995904173931553,0.7333333333333333,10.0,200
3,0.7,2033,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,10.0,200
3,0.8,2324,cvar_0.25,15,0.0033673041236867,0.0,0.0107246550972379,0.999484327459703,0.8666666666666667,10.0,250
3,0.8,2324,expected_revenue,15,0.118216360769864,0.0,0.3423690563574358,0.997946546625619,0.8666666666666667,10.0,250
4,0.01,28,cvar_0.25,15,2.1260581495644084,2.281328535691517,1.7955374091921013,0.6065893998570409,0.0666666666666666,9.533333333333331,250
4,0.01,28,expected_revenue,15,8.083477411496256,6.955488187505324,5.301471897787731,0.7307640961043074,0.0666666666666666,9.533333333333331,250
